uid,paymentType,Payment
pingj,type2,200
poaqq,type1,400
jbirr,type2,200
worrc,type2,200
oxodi,type1,400
tguqu,type1,400
asees,type1,400
asees,type2,200
ykxhk,type1,400
kpccp,type1,400
nsaba,type1,400
hocim,type2,200
vvnrs,type1,400
mhqno,type1,400
mhqno,type2,200
pucnl,type2,200
hbhwg,type1,400
wydmn,type1,400
nwsbk,type1,400
jcron,type1,400
dwbal,type1,400
dwbal,type2,200
kiott,type1,400
kiott,type2,200
mdgep,type1,400
oxudp,type2,200
cpmrq,type2,200
jgltk,type2,200
gdejn,type2,200
exckt,type2,200
sloxu,type2,200
yfxdm,type1,400
sqstq,type2,200
isylt,type2,200
dwtdg,type1,400
wiccg,type1,400
wwtca,type2,200
rwwwq,type2,200
qmanx,type1,400
moqjh,type2,200
qrkyv,type1,400
qrkyv,type2,200
rtsdb,type2,200
wujkd,type1,400
wujkd,type2,200
bvpep,type2,200
tpkbc,type2,200
aacpw,type2,200
mfuss,type2,200
cdfva,type2,200
spuos,type2,200
qyfoc,type2,200
dyttd,type1,400
wdnju,type2,200
pmdem,type2,200
mldnq,type1,400
svopu,type2,200
fgkpc,type2,200
kslvv,type2,200
wkjcw,type1,400
wkjcw,type2,200
mfqye,type2,200
ruebm,type1,400
ruebm,type2,200
tpqmr,type1,400
npvty,type2,200
bwysl,type2,200
vkjlk,type2,200
ycnaa,type1,400
yqnel,type2,200
nwafs,type1,400
mqdam,type1,400
sgjig,type2,200
giugv,type2,200
hsbrg,type1,400
hsbrg,type2,200
nsdka,type1,400
ekopv,type2,200
lxrte,type2,200
rmfqc,type2,200
mjupr,type1,400
qxwrv,type2,200
rbrha,type2,200
mmlgk,type2,200
ebssh,type1,400
eentj,type1,400
vaggv,type2,200
djecm,type2,200
kedms,type1,400
bvbqg,type2,200
semgk,type1,400
jsmhl,type1,400
jsmhl,type2,200
fgisx,type2,200
ootsr,type2,200
csgwl,type1,400
yrxty,type2,200
eyuuo,type2,200
ldlfl,type1,400
ldlfl,type2,200
umyvv,type2,200
prwhd,type2,200
gmpax,type2,200
ncdip,type1,400
ncdip,type2,200
tclhe,type1,400
tclhe,type2,200
oxsnc,type1,400
oxsnc,type2,200
hugtm,type1,400
hugtm,type2,200
jgkys,type2,200
kxski,type1,400
kxski,type2,200
sxwfj,type2,200
dlybn,type1,400
hlsqg,type2,200
shdxp,type2,200
lbvbg,type1,400
obqed,type1,400
ximdg,type1,400
pheoa,type1,400
mhooa,type2,200
lbude,type1,400
tghdi,type1,400
tghdi,type2,200
hnchn,type1,400
wtcrk,type2,200
dxvpn,type2,200
utfxl,type2,200
qklud,type1,400
qklud,type2,200
fmbrq,type1,400
piifu,type2,200
roppr,type1,400
qsffb,type1,400
qsffb,type2,200
rxjiv,type1,400
ioaiq,type1,400
ixpst,type1,400
wbsjm,type2,200
vdnsg,type2,200
bldxj,type2,200
uxeqw,type1,400
drcvw,type2,200
xdsvq,type1,400
bvfuo,type2,200
kgmhl,type2,200
qpelg,type1,400
qpelg,type2,200
pxnwl,type2,200
fdynx,type2,200
nkdpc,type2,200
xvvfs,type1,400
smphh,type2,200
aypfj,type2,200
ftdpe,type1,400
yboic,type1,400
wvrvf,type1,400
xwhal,type2,200
nijly,type1,400
nknga,type2,200
lxfok,type2,200
fhrhy,type2,200
fdbll,type2,200
gvrnd,type1,400
yesjr,type2,200
vqovk,type2,200
wppgn,type2,200
kfndo,type1,400
ogwcp,type1,400
ogwcp,type2,200
ejftg,type1,400
hvipq,type2,200
axrbi,type1,400
nyvoh,type2,200
dauho,type1,400
dauho,type2,200
npdng,type1,400
npdng,type2,200
tsbyb,type2,200
jibou,type2,200
gynan,type1,400
mobfp,type2,200
flark,type2,200
lqvds,type1,400
ssopo,type2,200
rnhrw,type2,200
mtvpf,type2,200
juenj,type1,400
oxucy,type1,400
oxucy,type2,200
qvwly,type2,200
gelbe,type1,400
uqtbh,type1,400
owwet,type2,200
btqrn,type2,200
rqqmo,type1,400
rqqmo,type2,200
vkoje,type2,200
anuyx,type1,400
anuyx,type2,200
icrxh,type2,200
uxxve,type2,200
tjtga,type1,400
nmgfp,type1,400
qstxv,type1,400
qstxv,type2,200
lyyji,type2,200
gsagr,type2,200
hgrls,type2,200
bwxlr,type2,200
tbcpk,type2,200
iwqgr,type1,400
losog,type1,400
iydmc,type1,400
nqdic,type1,400
smenq,type2,200
mgqxm,type2,200
jxdif,type1,400
jxdif,type2,200
ylsei,type1,400
ylsei,type2,200
jcswb,type1,400
jcswb,type2,200
gpluh,type2,200
yoanh,type2,200
mqjjr,type2,200
rmcsv,type1,400
ydhsm,type2,200
jlaac,type1,400
bwoew,type2,200
wkhjn,type2,200
gwjrj,type1,400
gwjrj,type2,200
gqrtv,type1,400
gqrtv,type2,200
vdgar,type1,400
wcodi,type2,200
vryhf,type1,400
dawai,type2,200
ftldb,type1,400
pxbcs,type2,200
rnqrh,type1,400
ciekb,type2,200
lwcif,type1,400
vnckr,type1,400
vnckr,type2,200
twbva,type1,400
dyinj,type2,200
rwqdc,type2,200
uimbf,type1,400
uimbf,type2,200
hcwhq,type2,200
dqhwx,type1,400
dqhwx,type2,200
woguq,type2,200
kkgmb,type1,400
kkgmb,type2,200
avjdn,type1,400
avjdn,type2,200
ncglj,type1,400
ncglj,type2,200
kypie,type1,400
ykfaq,type2,200
xvsnk,type1,400
dslgr,type2,200
luuka,type1,400
bmsph,type1,400
lmggh,type1,400
katgb,type1,400
katgb,type2,200
bdwwy,type1,400
epxte,type1,400
bhsgf,type2,200
ecbef,type2,200
ufxth,type1,400
ufxth,type2,200
lxrnu,type1,400
lxrnu,type2,200
olxom,type2,200
hklka,type2,200
fgqsn,type2,200
rlmue,type2,200
ujklg,type1,400
xictu,type1,400
dvvoi,type1,400
dvvoi,type2,200
umliy,type2,200
dbtgy,type2,200
olwle,type1,400
olwle,type2,200
pxllt,type2,200
ynyxc,type2,200
tgsdt,type2,200
jcbnf,type2,200
gqiqa,type1,400
gqiqa,type2,200
jqlvc,type1,400
jqlvc,type2,200
brubq,type1,400
cuxny,type1,400
yhbib,type1,400
kcpxm,type2,200
qyibt,type2,200
avdbo,type2,200
hiyfy,type1,400
rwxnb,type2,200
arkpl,type1,400
tthuh,type1,400
bsanq,type2,200
wxpcl,type2,200
ysnlq,type2,200
oauvh,type2,200
alnas,type2,200
llptq,type2,200
slysk,type1,400
pkiax,type1,400
qwenx,type2,200
wyknk,type1,400
lytaa,type2,200
pvlfb,type2,200
uhtgl,type1,400
wekxt,type2,200
nhlit,type2,200
mjefi,type1,400
bjfeg,type2,200
bnlop,type2,200
bhjel,type2,200
twiqq,type2,200
xqqcc,type1,400
mhnue,type2,200
aosqq,type2,200
aisda,type2,200
mpqmq,type2,200
erpnh,type2,200
pnjvr,type2,200
kfopv,type1,400
kfopv,type2,200
ielqw,type2,200
corrb,type2,200
hcafd,type1,400
qvjhp,type2,200
wkpfy,type2,200
ndvyf,type1,400
ndvyf,type2,200
xdlsa,type2,200
iwlvy,type1,400
oefgo,type1,400
syokr,type2,200
ekwxp,type2,200
iawob,type1,400
tvaxm,type2,200
hikjh,type2,200
tpbay,type2,200
uenpv,type1,400
hxyqa,type2,200
xfsos,type1,400
ryxqc,type2,200
kslft,type1,400
lpjjp,type2,200
rjxyp,type1,400
rjxyp,type2,200
nhkur,type2,200
fcnyd,type2,200
kcptc,type2,200
oesxd,type2,200
xkvho,type1,400
eksxs,type2,200
ctaer,type1,400
rvxpy,type1,400
pclqf,type2,200
ixfjt,type2,200
rgpjk,type2,200
caxkf,type2,200
kmixo,type1,400
kmixo,type2,200
awnmm,type2,200
ocupj,type1,400
poaxt,type2,200
bkcjg,type2,200
acxwk,type2,200
jfgjx,type2,200
saqug,type2,200
vvtkp,type2,200
msauc,type2,200
xvqqw,type2,200
gvhho,type2,200
axjnx,type2,200
brbbp,type1,400
damww,type1,400
jykbt,type2,200
jqqdx,type1,400
jqqdx,type2,200
wppoi,type1,400
rryyu,type1,400
rryyu,type2,200
dlhon,type2,200
lqqlv,type2,200
espjo,type2,200
jnyut,type2,200
uwepu,type2,200
csjqm,type1,400
xualq,type2,200
gdroh,type2,200
utcse,type2,200
qqddu,type1,400
biegt,type2,200
oujsf,type1,400
hmdgw,type1,400
kpoit,type1,400
quvym,type1,400
omswx,type1,400
albva,type2,200
teuej,type1,400
ayvyt,type2,200
pugnm,type2,200
mwcrr,type2,200
fcjlj,type1,400
gxgof,type1,400
gxgof,type2,200
kqdth,type1,400
tsves,type2,200
rgeqq,type2,200
rprrp,type1,400
bmmqd,type1,400
gvluc,type1,400
gvluc,type2,200
rebsg,type2,200
biend,type2,200
tykfr,type2,200
edfmk,type2,200
tttjc,type2,200
miqhp,type2,200
exxvm,type2,200
sttub,type1,400
sttub,type2,200
csblm,type2,200
nkjfl,type1,400
gpqai,type1,400
giyaj,type1,400
giyaj,type2,200
roapl,type2,200
gfrss,type1,400
wssxo,type1,400
wefvf,type1,400
quhag,type2,200
fucuo,type1,400
ddscr,type2,200
afnsy,type2,200
iylff,type2,200
lxtss,type1,400
lxtss,type2,200
bhhym,type2,200
dahlg,type2,200
sjiwn,type1,400
ydgkq,type2,200
mrplr,type1,400
anxsf,type2,200
qcuhu,type2,200
avftc,type2,200
hnsie,type1,400
hnsie,type2,200
menpp,type2,200
sktnw,type2,200
sdqga,type1,400
kwefk,type1,400
kwefk,type2,200
vyuxd,type1,400
vyuxd,type2,200
rmiim,type2,200
kcqrp,type1,400
kcqrp,type2,200
dcjkh,type2,200
ufvdk,type2,200
agkef,type1,400
oshep,type1,400
oshep,type2,200
kwvay,type2,200
xyhes,type2,200
dpqks,type2,200
jeprg,type2,200
bfdnn,type2,200
gwoln,type1,400
namsr,type2,200
yygrl,type2,200
tjurv,type2,200
hfdbn,type2,200
qgxop,type2,200
hvygb,type2,200
srduf,type2,200
vgfpr,type2,200
unobf,type2,200
poluy,type2,200
pfglf,type2,200
prpvg,type2,200
oiqkn,type2,200
fcnof,type2,200
kuemv,type1,400
kuemv,type2,200
idhbp,type2,200
yjggh,type1,400
tjhyn,type2,200
uromq,type2,200
axcpf,type1,400
nhmhx,type1,400
vnaec,type1,400
veasg,type2,200
xshfi,type1,400
ashqr,type1,400
jmsqg,type1,400
dokpe,type1,400
hqoij,type1,400
hqoij,type2,200
iaejd,type2,200
dbwlb,type1,400
dbwlb,type2,200
yvqir,type2,200
gfscu,type1,400
gfscu,type2,200
mlhxh,type1,400
mlhxh,type2,200
uwhvd,type1,400
dvivp,type2,200
ifqsq,type1,400
ifqsq,type2,200
ixhte,type2,200
nvaul,type2,200
yqlkp,type1,400
oxyjv,type1,400
oxyjv,type2,200
vopix,type2,200
rcrgn,type2,200
mqayo,type1,400
mqayo,type2,200
hquwn,type2,200
cvquw,type1,400
svoib,type2,200
xvcfu,type2,200
xcrug,type1,400
akuay,type2,200
qhwdb,type2,200
ftwny,type2,200
divvc,type2,200
nepdf,type1,400
wtrep,type2,200
aprps,type1,400
aprps,type2,200
jimov,type2,200
hwhvv,type2,200
wdhrn,type2,200
omhjf,type2,200
icurl,type2,200
ulgoo,type2,200
vtlth,type2,200
wrtdc,type2,200
qxjhs,type1,400
hiysc,type1,400
hiysc,type2,200
mehct,type1,400
mehct,type2,200
vmgfu,type2,200
fbenh,type1,400
knwyf,type2,200
bduif,type1,400
wwdbu,type1,400
tdjpj,type2,200
pycod,type1,400
ndvgb,type2,200
vvmtm,type2,200
mathk,type2,200
nxqwc,type2,200
ctebl,type1,400
lvhiu,type2,200
hybxl,type2,200
jnjho,type2,200
ajoby,type1,400
yfijd,type1,400
ikqkt,type2,200
cmswo,type2,200
yjkvg,type2,200
banyb,type2,200
vkchv,type1,400
eejbg,type2,200
hmuod,type2,200
afrjk,type2,200
fugch,type1,400
iwgte,type2,200
muukk,type2,200
compi,type2,200
vidtd,type1,400
hlncm,type2,200
qdxek,type2,200
mlkms,type1,400
mlkms,type2,200
nghgf,type1,400
ghbvp,type2,200
clbni,type1,400
nomup,type2,200
mofug,type2,200
ddgep,type1,400
wkvob,type1,400
wkvob,type2,200
seqqg,type2,200
hxiak,type2,200
stohk,type1,400
dynwb,type1,400
ehptq,type2,200
obdvw,type1,400
mdelj,type2,200
ihrhg,type1,400
nncqt,type2,200
qtoij,type2,200
pfrga,type1,400
gxtkg,type2,200
bkrya,type2,200
puvdm,type1,400
jtxlx,type2,200
vcrdu,type2,200
qfnwt,type1,400
qfnwt,type2,200
qatln,type1,400
ixcqd,type2,200
merpy,type2,200
uexwd,type1,400
uvjio,type1,400
ayawa,type1,400
ayawa,type2,200
rvcur,type2,200
lqimx,type2,200
pikkp,type2,200
uogkx,type2,200
gltgx,type2,200
ltwup,type1,400
ltwup,type2,200
wgahh,type1,400
wgahh,type2,200
rchid,type2,200
wqlob,type2,200
ovabq,type2,200
bmyki,type1,400
hvmnv,type2,200
qwjiq,type2,200
wugja,type1,400
ekgbs,type2,200
jnxty,type1,400
jnxty,type2,200
whyrc,type1,400
fhqcm,type1,400
fhqcm,type2,200
njedx,type2,200
dfmxj,type2,200
vvigg,type2,200
ukcqp,type2,200
bjymx,type2,200
jiewb,type2,200
dbcgc,type1,400
dbcgc,type2,200
yqhcc,type1,400
wvveh,type1,400
dvbse,type1,400
dvbse,type2,200
wrlvm,type1,400
nbueb,type1,400
eklhr,type1,400
nipqi,type1,400
jetix,type1,400
jetix,type2,200
xcprr,type2,200
cmlgs,type1,400
cmlgs,type2,200
vabeu,type2,200
dxxcs,type1,400
cnjue,type2,200
ybhih,type1,400
oreqw,type2,200
fryqe,type2,200
hggxg,type2,200
ydgnf,type1,400
ydgnf,type2,200
qbbsc,type1,400
ahlcf,type1,400
pvkwf,type2,200
hygjd,type2,200
trqmt,type2,200
nindp,type1,400
xbuvp,type2,200
mqvun,type2,200
etcfn,type1,400
bfnyb,type2,200
eeklm,type2,200
mveuw,type2,200
jruwc,type1,400
jruwc,type2,200
bpiyd,type2,200
elkxp,type2,200
ntkeo,type1,400
hxakv,type2,200
jirvu,type1,400
jirvu,type2,200
jmkcl,type1,400
wqran,type2,200
ygknw,type1,400
octov,type2,200
fadqe,type2,200
ipleo,type2,200
ludlx,type2,200
wrvfk,type1,400
wrvfk,type2,200
hadhc,type2,200
uxgbx,type1,400
uxgbx,type2,200
ufosk,type2,200
xviij,type1,400
xviij,type2,200
jrmkt,type2,200
haqts,type1,400
cmdtw,type1,400
jrymp,type2,200
adtxh,type2,200
isiiu,type2,200
vjgba,type1,400
vjgba,type2,200
vhnfo,type2,200
pvqbe,type2,200
kuaom,type2,200
syxad,type2,200
aalcl,type2,200
kwgma,type2,200
opkdo,type1,400
abdxa,type2,200
nipmg,type2,200
oyjti,type2,200
fhdwg,type2,200
umbyg,type1,400
xdtdx,type2,200
qthgs,type1,400
qthgs,type2,200
vlnaa,type2,200
ykcuk,type2,200
qtygs,type1,400
bvcax,type1,400
bvcax,type2,200
tsrqn,type2,200
kacxl,type2,200
uugdq,type1,400
wxtsi,type2,200
yhyfc,type2,200
jqpms,type1,400
ijeqt,type2,200
ynffp,type1,400
duhpk,type2,200
hhubu,type2,200
jspat,type2,200
mqepq,type2,200
moivk,type2,200
qruag,type2,200
rtxft,type2,200
hgkdn,type1,400
esopr,type1,400
boakb,type2,200
dcxjp,type2,200
ihpwe,type2,200
ujnrg,type2,200
wsbrl,type2,200
spbgo,type2,200
wvjnu,type1,400
wvjnu,type2,200
uqljr,type1,400
uqljr,type2,200
ptxta,type2,200
wtkin,type1,400
auplr,type1,400
mdgrq,type2,200
nhcco,type1,400
lkiec,type2,200
uquxx,type2,200
mhvnw,type2,200
jeila,type1,400
cjtkb,type1,400
itqle,type2,200
buekr,type1,400
ufmyj,type2,200
wugup,type2,200
vafch,type2,200
gyhbm,type1,400
ufwje,type1,400
ufwje,type2,200
prcuu,type2,200
emeqi,type2,200
pldpb,type2,200
wpmmb,type1,400
fbpin,type2,200
usbsc,type1,400
gwgkh,type2,200
fdisw,type1,400
bbwkr,type2,200
ywxve,type2,200
aeric,type2,200
kyjsx,type2,200
kewvj,type1,400
jdgla,type1,400
tnpgk,type1,400
tnpgk,type2,200
gewxf,type2,200
wehbe,type1,400
uvlph,type1,400
pexfh,type2,200
vwyvr,type2,200
uwdtw,type2,200
tjtki,type2,200
vyein,type1,400
tewsy,type1,400
scvrg,type1,400
racdn,type2,200
egsqo,type1,400
egsqo,type2,200
ebhyw,type2,200
prdie,type1,400
xwhsg,type1,400
cfaap,type1,400
oesdr,type2,200
luurh,type2,200
ohuwc,type2,200
laynw,type2,200
drxjf,type2,200
bbclg,type1,400
cftiy,type2,200
mjttk,type2,200
iepog,type2,200
gmuhd,type2,200
fhbmi,type2,200
biroq,type1,400
pcdne,type1,400
xqwiu,type1,400
turij,type1,400
turij,type2,200
mncgf,type1,400
mncgf,type2,200
lbldl,type1,400
lbldl,type2,200
quhpi,type2,200
yaxhk,type1,400
ctlkt,type1,400
ctlkt,type2,200
nbues,type2,200
daclu,type2,200
ovukb,type2,200
nojtq,type1,400
nojtq,type2,200
kiyyr,type2,200
pvoic,type1,400
asyct,type2,200
gfxyn,type2,200
phlsp,type2,200
pqqtt,type1,400
pqqtt,type2,200
gefbd,type1,400
gefbd,type2,200
vmnfj,type2,200
dfvth,type1,400
dfvth,type2,200
hgnnx,type2,200
ntmjv,type2,200
epbxc,type2,200
gkkik,type2,200
snhuh,type2,200
datve,type1,400
datve,type2,200
cevmg,type2,200
kskup,type2,200
xtowf,type1,400
qelxy,type1,400
suwwq,type1,400
eidaw,type2,200
deucd,type2,200
jmfdw,type1,400
tdnpv,type1,400
eodkj,type1,400
sgbtg,type2,200
crbct,type1,400
khctx,type2,200
uauvu,type2,200
umnsk,type2,200
wekfn,type1,400
wekfn,type2,200
dxbkj,type2,200
mhgyf,type1,400
ksvaj,type2,200
tcafw,type2,200
dokwo,type2,200
fapcl,type2,200
hsosr,type2,200
wjwop,type2,200
kweeo,type1,400
kweeo,type2,200
umhev,type2,200
scaaj,type2,200
bshxp,type2,200
btqxd,type1,400
mthxn,type2,200
jtump,type2,200
pbtoh,type2,200
ubcjo,type2,200
rwamf,type2,200
hgkxf,type2,200
ygdrw,type1,400
ygdrw,type2,200
fefer,type2,200
happc,type2,200
hmqtl,type2,200
bdbhv,type1,400
qgedu,type2,200
hmprc,type2,200
gqlgd,type1,400
gqlgd,type2,200
tdvsa,type2,200
ppjky,type1,400
hhigc,type1,400
hhigc,type2,200
aavgr,type2,200
gxiti,type2,200
jdjbo,type1,400
jdjbo,type2,200
ddglg,type1,400
ddglg,type2,200
tebmy,type2,200
gshtk,type2,200
tywfl,type1,400
jwqkg,type2,200
mecds,type1,400
mbsxl,type2,200
rqaxy,type2,200
ptucw,type2,200
orhou,type1,400
usfjs,type2,200
welra,type2,200
bkcuc,type1,400
xslsu,type1,400
ueume,type2,200
byxit,type1,400
ecudj,type1,400
bjkyd,type2,200
ddype,type1,400
ufdhy,type1,400
ujdsv,type2,200
imxna,type1,400
xjoos,type2,200
lutnh,type2,200
lycmk,type2,200
wtxwv,type1,400
wtxwv,type2,200
qnslr,type2,200
qodnd,type2,200
nmkww,type1,400
hpkjc,type2,200
nprxe,type1,400
nprxe,type2,200
xsvrp,type1,400
xsvrp,type2,200
rbvds,type1,400
rbvds,type2,200
qiwhd,type2,200
ethfk,type1,400
ethfk,type2,200
yeyuk,type2,200
qgswx,type2,200
sxkku,type1,400
tulgg,type1,400
endag,type1,400
pmebi,type2,200
gmoni,type2,200
ddpas,type1,400
ddpas,type2,200
dpftq,type2,200
ahrlm,type2,200
fftlj,type2,200
miffn,type1,400
xohgm,type1,400
xohgm,type2,200
flbhq,type1,400
phdqj,type2,200
xvjab,type1,400
xvjab,type2,200
miyvo,type1,400
yeecf,type1,400
yeecf,type2,200
ojjnp,type2,200
fpsec,type2,200
likms,type2,200
yxcsi,type2,200
adqls,type2,200
hjnwe,type1,400
jgdeo,type2,200
sjtuh,type2,200
mvmtc,type2,200
pxndu,type2,200
ndmfv,type2,200
ssyxg,type2,200
weosu,type1,400
weosu,type2,200
askgu,type1,400
bkoyh,type2,200
cxapk,type2,200
eeklg,type2,200
ffkgc,type2,200
lumbv,type1,400
kharp,type1,400
mafqp,type2,200
yfuop,type2,200
oltyo,type2,200
veaax,type2,200
ilgud,type2,200
lsmdh,type2,200
ierbl,type1,400
nugai,type1,400
nugai,type2,200
aatcm,type2,200
myach,type1,400
epkcj,type1,400
hicgu,type1,400
hqrlg,type1,400
eroko,type1,400
